"","struct.summ.site_unique","struct.summ.site_location_name","struct.summ.site_location_visit_id","struct.summ.phenology_comment","struct.summ.upper_1_dominant","struct.summ.upper_2_dominant","struct.summ.upper_3_dominant","struct.summ.mid_1_dominant","struct.summ.mid_2_dominant","struct.summ.mid_3_dominant","struct.summ.ground_1_dominant","struct.summ.ground_2_dominant","struct.summ.ground_3_dominant","struct.summ.description","struct.summ.mass_flowering_event"
"824","SAACHC0014-59019","SAACHC0014",59019,"Climatic conditions are wet, with rain 2 days prior to the site visit. Vegetation response is dry, with very little fruiting or flowering. Some grass tussocks retain a small amount of greenness from earlier rain, but the majority have dried out and shed seed. No fruit or flowers on the Eucalyptus coolabah or Atriplex vesicaria.","SAA019089","None","None","SAA019087","SAA018943","SAA018879","SAA018961","SAA019041","SAA018963","Upper stratum dominated by Eucalyptus coolabah (6m) low sparse woodland. Mid stratum of juvenile Eucalyptus coolabah (2m) and Atriplex vesicaria (1m) chenopod shrubland. Ground stratum of Enneapogon sp., Tripogonella sp. and Aristida spp. (ave height 0.15m) tussock grassland. ",FALSE
"825","SAASTP0031-56938","SAASTP0031",56938,"","","","","SAA  003361","","","SAA  003347","","","Dodonaea viscosa subsp. angustissima mid open shrubland lower-stratum dominated by Zygochloa paradoxa with annual forbs and grasses. ",NA
"826","SAARIV0001-57090","SAARIV0001",57090,"Minimal flowering- scattered fruit and flowers on Enchylaena tomentosa and Disphyma crassifolium subsp. clavellatum but not consistent. Fruit and flowers on Chenopodium nitrariaceum.  ","SAA  004947","SAA  004951","None","SAA  004939","SAA  004940","SAA  004926","SAA  004925","SAA  004946","SAA  004938","Eucalyptus largiflorens/ Eucalyptus camaldulensis low open forest. Mid stratum dominated by Chenopodium nitrariaceum with some isolated Eremophila bignoniiflora and  Duma florulenta. Ground stratum of Senecio cunninghamii, Enchylaena tomentosa and Disphyma crassifolium subsp. clavellatum",FALSE
"827","SAARIV0001-58971","SAARIV0001",58971,"There has been rain in the last month. Vegetation response is active vegetation growth. Eremophila bignoniiflora is the only perennial species flowering. Eucalyptus largiflorens is at the end of flowering. No fruit on Enchylaena tomentosa. Chenopodium nitrariaceum are fruiting. Stemodia florulenta is in flower.","SAA024499","SAA024521","None","SAA024507","SAA024527","SAA024521","SAA024505","SAA024509","SAA024517","Upper stratum dominated by Eucalyptus largiflorens and Eucalyptus camaldulensis subsp. camaldulensis mid forest (22-25m), with a substratum (U2) at around 18m tall. Mid stratum of Eremophila bignoniiflora, Acacia stenophylla and young Eucalyptus largiflorens shrubland. Substratum (M2) of Chenopodium nitrariaceum and sparse Rhagodia spinescens shrubland. Ground stratum is very sparse, with Enchylaena tomentosa var. tomentosa, Disphyma crassifolium subsp. clavellatum  and Stemodia florulenta forbland.",FALSE
"828","SAARIV0001-58046","SAARIV0001",58046,"NC","SAA005822","SAA005808","None","SAA005818","SAA005820","SAA005813","SAA005814","SAA005811","SAA005817","Eucalyptus largiflorens/ Eucalyptus camaldulensis low open forest. Mid stratum dominated by Chenopodium nitrariaceum with some isolated Eremophila bignoniiflora and Duma florulenta. Ground stratum of Senecio cunninghamii, Enchylaena tomentosa and Disphyma crassifolium subsp. clavellatum.",FALSE
"829","SAACHC0012-59022","SAACHC0012",59022,"Climatic conditions are dry. Vegetation response is dry. No rain in the past six weeks. Most forbs and grasses have dried off, though some Salsola individuals are still alive. Acacia victoriae are flowering throughout the site, and Hakea leucoptera have fruit.","SAA018795","None","None","SAA018775","SAA018769","None","SAA018805","SAA018815","SAA018765","Upper stratum of Hakea leucoptera (4m) with Acacia victoriae (2m) and some scattered Senna sp. sparse shrubland.  Ground stratum contains a mix of Aristida holathera (0.3m), other tussock grasses, and Salsola sp. tussock grassland.",FALSE
"830","WAAPIL0026-59004","WAAPIL0026",59004,"Climate response is wet. Rain in last week.
Vegetation response is dry. Some of the grasses still a bit green but finished seeding and starting to dry out. All Acacia spp. are sterile. All chenopods are fruiting. Some of the Eremophila spp. are flowering. Some Acacia spp. recruitment.

","WAA026662","None","None","WAA026694","WAA026662","None","WAA026658","WAA026652","WAA026664","Upper stratum dominated by Acacia aptaneura shrubland. Mid stratum of Acacia xiphophylla and Acacia aptaneura shrubland. Ground stratum of Enneapogon polyphyllus, Aristida contorta and Senna sp. tussock grassland.


",FALSE
"831","WAAPIL0026-58044","WAAPIL0026",58044,"NC","None","None","None","WAA010976","WAA010984","None","WAA010954","WAA010988","WAA010954","Open Acacia xiphophylla (4-6) shrubland with emergent Acacia aptaneura (7-8m). Open mid stratum of broad leaved senna (1-1.5m), Eremophila ssp. (1-1.5m). Ground layer of Enneapogon polyphyllus (0.01-0.2m), Aristida contorta (0.01-0.2m) and patch of Bunched headed Enneapogon (0.01-0.2m), Cenchrus ciliaris (0.01-0.2m) and wing on wing Maireana (0.1-0.3m).",FALSE
"832","SAAKAN0006-58900","SAAKAN0006",58900,"Climate is wet with many seedlings re-sprouting after fire. Some of the following plants are flowering: Lobelia rhombifolia,  Drosera auriculata, Drosera schmutzii, Tetratheca halmaturina and Glischrocaryon behrii","None","None","None","SAA014470","SAA014450",NA,"SAA014468","None","None","Upper stratum dominated by Eucalyptus remota with Xanthorrhoea semiplana subsp. tateana low sparse mallee woodland. Ground stratum of Isolated Lepidosperma spp. and other forbs and seedlings sedgeland / forbland",FALSE
"833","SAAKAN0006-58625","SAAKAN0006",58625,"NC","SAA008174","None","None","SAA008110","SAA008222","SAA008164","SAA008138","SAA008210","SAA008176","Eucalyptus remota and Banksia ornata low mallee woodland to tall shrubland with Allocasuarina striata and Hakea rostrata. Mid storey of Xanthorrhoea semiplana subsp. tateana, juvenile E. remota and Allocasuarina striata, Banksia spp., Pultenaea sp., Calytrix tetragona and Hibbertia devitata. Ground layer dominated by sedges-  Caustis pentandra and Lepidosperma carphoides, Lepidosperma spp. and some Baeckea ericaea.",FALSE
"834","WAAPIL0024-58986","WAAPIL0024",58986,"Climate response is wet, it has rained in the last two weeks. Vegetation response is dry. Cheilanthes sieberi subsp. sieberi is green indicating recent rain. Most of the annual forbs and grasses have dried off and seeded. Some Acacias have old flowers but none are fruiting. Everything else is generally sterile. There is some recruitment in Acacia aneura, with younger shrubs up to 5 years old scattered through the plot.","WAA027136","WAA027148","WAA027160","WAA027136","WAA027148","WAA027122","WAA027070","WAA027144","WAA027098","Upper stratum dominated by Acacia aneura (4-8m) with Acacia sp. (4-8m), and Acacia pruinocarpa (4-8m) shrubland. Mid stratum of juvenile Acacia spp. (1.5-2m) and Psydrax latifolia (1-2m) shrubland. Ground stratum dominated by Chrysopogon fallax (10-30cm) and Enneapogon polyphyllus (5-20cm), with Perotis rara (<5cm) tussock grassland.",FALSE
"835","WAAPIL0024-58040","WAAPIL0024",58040,"NC

","WAA010696","WAA010748","None","WAA010696","WAA010748",NA,"WAA010664","WAA010668","WAA010802","Acacia aptaneura/ Acacia pruinocarpa low open woodland to tall open shrubland with other scattered shrubs. Ground stratum is a low open tussock grassland dominated by Chrysopogon fallax, Sida sp. verrucose glands (F.H.Mollemans 2423) and other tussock grasses and forbs. Some patches of Triodia angusta in Acacia aptaneura groves.",FALSE
"836","SAAKAN0005-58891","SAAKAN0005",58891,"Solid rain of the past few weeks and days, pooling water to the western side of the site. Recent very hot fire through the site, December 2019/January 2020. All of the Banksia’s and Allocasuarina’s have been killed off. The Banksias are seeding and regenerating. The Eucalyptus baxteri have epicormic growth and the Eucalyptus remota is reshooting through the lignotuber.","SAA014284","NO_BARCODE_DEAD_TREE_327921","None","SAA014072","SAA014098",NA,"SAA014054","SAA014112","SAA014112","Eucalyptus remota low sparse mallee-shrubland with Xanthorrhoea semiplana subsp. tateana and a few isolated Eucalyptus baxteri. The height is lower than previous visit due to fire, with most of the re-shooting between 40cm and 1m. The ground cover is made up of predominantly Banksia seedlings, Lepidosperma hispidulum and Schoenus breviculmis.

",FALSE
"837","SAAKAN0005-58624","SAAKAN0005",58624,"NC","SAA008018","None","None","SAA008082","SAA008020","SAA008032","SAA008050","SAA008080","SAA008066","Eucalyptus baxteri and Eucalyptus remota low open woodland with midlayer of Banksia ornata, Hakea rostrata, Xanthorrhoea semiplana subsp. tateana as well as Allocasuarina striata and a lower shrub layer of Pultenaea tenuifolia, Isopogon ceratophyllus, Petrophila multisecta,Leucopogon concurvus, Hibbertia platyphylla subsp. halmaturina, Dillwynia sericea, Daviesia brevifolia, Lepidosperma semiteres, Drosera macrantha subsp. planchonii. as well as grasses. 

",TRUE
"838","WAAPIL0027-58987","WAAPIL0027",58987,"Climate response is wet, it has rained in the past week. Vegetation response is dry. Calandrinia stagnensis is flowering but most other species are very dry. ","None","None","None","WAA023654","WAA023626","WAA023638","WAA026320","WAA026318","WAA023620","Upper stratum dominated by Acacia synchronicia, Acacia aptaneura and Acacia tetragonophylla shrubland. Ground stratum of Triodia angusta, Triodia epactia (20-40cm) and Calandrinia stagnensis hummock grassland.",FALSE
"839","WAAPIL0027-58041","WAAPIL0027",58041,"NC",NA,NA,NA,NA,NA,NA,"WAA011052","WAA011140","WAA011102","Triodia longiceps low open hummock grassland. Scattered low Sida arsiniata shrubs and Acacia synchronicia but at same height as Triodia. One dead Acacia dictyophleba. Lower ground stratum dominated by Calandrinia stagnensis.
 ",FALSE
"840","WAAPIL0029-59005","WAAPIL0029",59005,"Climate response is dry. Recent rain in last couple weeks.
Vegetation response is dry. Most of the grasses have finished and dropped seed. Enneapogon polyphyllus still have some seed. One Acacia is flowering.","WAA026592","WAA026590","WAA026450","WAA026356","WAA026342","WAA026420","WAA026608","WAA026594","WAA026424","Upper stratum dominated by Eucalyptus victrix with Acacia sp. and Grevillea striata
woodland. Mid stratum of by open Senna sp.,Capparis lasiantha and Senna artemisioides subsp. helmsii shrubland. Ground stratum dominated by Triodia sp., Urochloa occidentalis var. ciliata and Enneapogon polyphyllus hummock grassland / tussock grassland.",FALSE
"841","WAAPIL0029-58045","WAAPIL0029",58045,"NC","WAA011472","WAA011454","WAA011318","WAA011454","WAA011402",NA,"WAA011324",NA,NA,"Eucalyptus victrix/ Acacia macraneura low woodland with scattered Atalaya hemiglauca. Mid-stratum is a tall sparse shrubland dominated by younger Acacia macraneura and other scattered shrubs. Ground-stratum is a low open hummock grassland  dominated by and Triodia angusta with scatterd isolated forbs, tussock grasses and chenopods",FALSE
"842","SAARIV0004-58967","SAARIV0004",58967,"Climate is relatively dry, records indicate trace of rain 1 week earlier. Vegetation response is active. Myoporum parvifolium is all flowering. Approximately half of the Eucalypt trees are fruiting. Cyperus gymnocaulos is partly in flower, some is dying off. All Atriplex leptocarpa and Einadia nutans subsp. nutans have fruit, while approximately half of the Atriplex semibaccata plants are fruiting. Daisies including Senecio cunninghamii var. cunninghamii 
are in flower, as is Wahlenbergia fluminalis .
Eucalyptus camaldulensis subsp. camaldulensis is generally very old, some have died off and grown back. There are two small cohorts of regrowth, one 3 to 4 years old, one approximately 7 years old.

 
","SAA025360","SAA025370","None","SAA025350","SAA025376","None","SAA024759","SAA025384","None","Upper stratum dominated by Eucalyptus largiflorens (7-12m) low open woodland, with emergent Eucalyptus camaldulensis subsp. camaldulensis. Mid stratum is open, with a 30m diameter Duma florulenta thicket (1.5-2m) with Acacia stenophylla shrubland. Ground stratum dominated by Myoporum parvifolium (0.2m), Cyperus gymnocaulos (0.5m), Atriplex leptocarpa (0.1m) and Atriplex semibaccata (0.1m) shrubland / chenopod shrubland


",FALSE
"843","SAARIV0004-58051","SAARIV0004",58051,"NC","SAA005876","None","None","SAA005875","SAA005883","None","SAA005871","SAA005874","None","Eucalyptus largiflorens low woodland with a dense ground stratum of Senecio cunninghamii and Myoporum parvifolium. A few scattered Acacia stenophylla and Duma florulenta
 ",FALSE
"844","SAARIV0004-57093","SAARIV0004",57093,"NC","SAA005455","None","None","-1","-1","-1","SAA005453","SAA005452","-1","Eucalyptus largiflorens low woodland with a dense ground stratum of Senecio cunninghamii and Myoporum parvifolium. A few scattered Acacia stenophylla and Duma florulenta",FALSE
"845","SAAEYB0036-59158","SAAEYB0036",59158,"Climate response is wet. Currently raining and in last two days, and over the spring. Vegetation response is active. Frankenia sessilis, some Maireana oppositifolia, Wilsonia humilis and Isotoma scapigera are flowering. Disphyma crassifolium subsp. clavellatum has fruit.","None","None","None","SAA025658","SAA025664","SAA025652","SAA025680","SAA025648","None","Upper stratum of Tecticornia pruinosa (0.3m), Tecticornia moniliformis, Maireana oppositifolia samphire shrubland. Ground stratum of Lawrencia squamata and Wilsonia humilis forbland.",FALSE
"846","SAASTP0016-53716","SAASTP0016",53716,"","","","","","","","SAA 001019","SAA 001007","SAA 001013","Tecticornia tenuis / Atriplex vesicaria / Atriplex incrassata low samphire shrubland with Sida fibulifera and Eriachne ovata",FALSE
"847","SAAEYB0035-59157","SAAEYB0035",59157,"Climate response is wet. Rain on day of survey and in the week prior to the survey, with substantial spring rains. Vegetation response is fruiting and flowering. All Eucalyptus sp. are fruiting. Geijera linearifolia is flowering, Carpobrotus rossii is fruiting on some but not all plants, Frankenia pauciflora is flowering.","SAA025624","SAA025636","SAA025596","SAA025570","SAA025578","SAA025602","SAA025614","SAA025630","SAA025590","Upper stratum dominated by Eucalyptus gracilis, Eucalyptus calcareana and Eucalyptus oleosa subsp. ampliata mixed mallee woodland (8m). Mid stratum of Melaleuca pauperiflora subsp. mutica (2m), Geijera linearifolia (1.8m), Santalum acuminatum (1.8) shrubland. Ground stratum (G1) of Atriplex paludosa subsp. cordata (0.4m) chenopod shrubland. Ground stratum (G2) of Carpobrotus rossii (0.1m), Sclerolaena uniflora and Frankenia pauciflora forbland / chenopod shrubland.",FALSE
"848","SAARIV0006-59035","SAARIV0006",59035,"Climate is wet. Vegetation response is active growth. Myoporum parviflorum, Disphyma crassifolium subsp. clavellatum and Eremophila divaricata subsp. divaricata are actively flowering. Eucalypts have finished flowering and are fruiting
 
","SAA024683","SAA024689","None","SAA024695","SAA025410","None","SAA025400","SAA025394","SAA025390","Upper stratum dominated by Eucalyptus largiflorens (10m) and Eucalyptus camaldulensis subsp. camaldulensis open woodland. Mid stratum of sapling Eucalyptus largiflorens and Eucalyptus camaldulensis subsp. camaldulensis, Duma florulenta and Eremophila divaricata subsp. divaricata shrubland / woodland. Ground stratum of large patches of Myoporum parvifolium, with Disphyma crassifolium subsp. clavellatum, Cyperus gymnocaulos and Atriplex semibaccata forbland / sedgeland


",FALSE
"849","SAARIV0006-57095","SAARIV0006",57095,"NC","SAA005439","None","None","-1","-1","-1","SAA005440","SAA005441","None","Eucalyptus camaldulensis low woodland.  A dense ground stratum of Senecio cunninghamii with Cyperus gymnocaulos. Many Dead trees.",FALSE
"850","SAARIV0006-58053","SAARIV0006",58053,"NC","SAA005842","None","None","None","None","None","SAA005830","SAA005840","None","Eucalyptus camaldulensis low woodland. A dense ground stratum of Senecio cunninghamii with Cyperus gymnocaulos. Many Dead trees.",FALSE
"851","WAALSD0002-53570","WAALSD0002",53570,"","","","","WAA  005375","WAA  005381","","WAA  005393","WAA  005391","","Aluta maisonneuvei subsp. maisonneuvei low heathland with Micromyrtus flaviflora ground stratum dominated by Triodia basedowii with Triodia schinzii also present.",FALSE
"852","WAAVIB0002-59007","WAAVIB0002",59007,"Climate response is dry.
Vegetation response is dry. Some Cochlospermum fraseri flowering. Unburnt Triodia bitextura have dropped all of their seed. Annual tussock grasses have all dried out. Reasonably good wet season.
","WAA023168","WAA022792","None","WAA023114","WAA023162","WAA023108","WAA023098","None","None","Upper stratum dominated by Owenia vernicosa (~8m), Buchanania obovata (~6m), Gardenia dacryoides (~8m) low sparse woodland. Mid stratum of Buchanania obovata, Grevillea pyramidalis subsp. leucadendron (~2.5m), Cochlospermum fraseri (~2.5m)  and Erythrophleum chlorostachys (0.6m) shrubland. Ground stratum dominated by Triodia bitextura (~0.4m), and some Grevillea dryandri hummock grassland",FALSE
"853","WAAVIB0002-58497","WAAVIB0002",58497,"Dry- Fruiting and Flowering. Flowering in the Cochlospermum and the Grevillea. Triodia are still green- other annual tussock grasses and forbs have dried off.",NA,NA,NA,"WAA  007236","WAA  007270","WAA  007214","WAA  007204","WAA  007228","WAA  007280","Grevillea velutinella mixed shrubland with emergent Cochlospermum fraseri and other isolated trees. Ground storey dominated by Triodia bitextura.
 ",FALSE
"854","SAASTP0022-53735","SAASTP0022",53735,"Most annual cover has dried out forming litter.","","","","SAA 001563","","","SAA 001569","SAA 001635","SAA 001641","Maireana aphylla and Atriplex vesicaria low open chenopod shrubland with an understratum of Enneapogon cylindricus, Eriachne ovata and Sida fibulifera",FALSE
"855","SAASTP0027-53739","SAASTP0027",53739,"","","","","","","","SAA 001882","SAA 001876","SAA 001870","Sclerolaena intricata / Dissocarpus fontinalis/ Atriplex vesicaria low very sparse chenopod shrubland.",FALSE
"856","WAACEK0002-59008","WAACEK0002",59008,"Climate response is dry.
Vegetation response is regenerating.
","WAA023582","None","None","WAA023582","None","None","WAA023572","WAA023586","WAA023570","Upper stratum dominated by Eucalyptus tectifica woodland. Ground stratum dominated by Dichanthium fecundum, Chrysopogon fallax and Sorghum sp tussock grassland
",FALSE
"857","WAACEK0002-58506","WAACEK0002",58506,"NC","WAA  007916","None","None","None","None","None","WAA  007938","WAA017571","WAA  007944","Eucalyptus tectifica sparse woodland with a dense  ground stratum of Dichanthium and Heteropogon contortus and Sorghum and other tussock grasses. Mid layer is isolated juvenile Eucalyptus sp.",FALSE
"858","QDAEIU0009-58881","QDAEIU0009",58881,"Climate response is wet with rain in the last week and the week before that, upwards of 75mm. Vegetation response is active growth. Bothriochloa pertusa has predominately shed its seed, the Cenchrus ciliaris still has seed and is green. Limited flowering of some forbs and some old fruit on the Lysiphyllum carronii","QDA028526",NA,"None","QDA028482",NA,NA,"QDA027829","QDA028476","QDA027859","Emergent Atalaya hemiglauca (2m), Eucalyptus brownii (12m) and Lysiphyllum carronii sparse woodland. Ground stratum dominated by Bothriochloa pertusa (0.4m) and Cenchrus ciliaris with Iseilema vaginiflorum, Eragrostis tenellula and Eriochloa crebra (0.6m) mid tussock grassland.
 

",FALSE
"859","SAAGAW0006-58717","SAAGAW0006",58717,"NC","SAA010727","None","None","SAA010777","SAA010759","SAA010645","SAA010621","SAA010655","SAA010653","Acacia aptaneura woodland with a mid-storey of Senna artemisioides subsp. x petiolaris and Acacia ayersiana and a lower mid-storey of Rhagodia spinescens, Maireana georgei and Lycium australe. Ground-storey of Sclerolaena diacantha, Aristida contorta and Eragrostis laniflora.",FALSE
"860","SAASTP0001-53719","SAASTP0001",53719,"","","","","SAA 000249","","","SAA 000293","SAA 000331","SAA 000331","Maireana aphylla low open chenopod shrubland with Eragrostis setifolia. Some isolated emergent Acacia aneura var. tenuis.",FALSE
"861","SAASTP0005-53723","SAASTP0005",53723,"","","","","SAA 000427","SAA 000382","","SAA 000392","SAA 000349","SAA 000419","Atriplex nummularia subsp. nummularia / Sclerolaena bicornis var. bicornis low open chenopod shrubland to Swainsona oligophylla / Portulaca intraterranea low open forbland with Eragrostis tenellula.",FALSE
"862","WAACAR0002-58776","WAACAR0002",58776,"NC","WAA019432","None","None","WAA019134","WAA019108","WAA019128","WAA019106","WAA019150","WAA019418","Eucalyptus obtusiflora Mallee woodland with a mid-storey of Acacia tetragonophylla, Senna artemisioides subsp. x sturtii and Eremophila oldfieldii subsp. oldfieldii. Ground layer of Triodia plurinervata  with some small Roepera lobulata,  Ptilotus obovatus and Solanum orbiculatum subsp. orbiculatum.

",FALSE
"863","SASMDD0011-57068","SASMDD0011",57068,"NC","-1","-1","-1","-1","-1","-1","SAS000321","NO_BARCODE_GRASS_865087","NO_BARCODE_FORB_418814","Maireana pyramidata low open Chenopod shrubland with scattered annual grasses and forbs.",FALSE
"864","SASMDD0011-56998","SASMDD0011",56998,"NC","-1","-1","-1","-1","-1","-1","SAS001546","SAS001576","SAS001588","Maireana pyramidata low open chenopod shrubland (50cm) with 1 or 2 isolated Maireana sedifolia.  Recently germinated Carrichtera annua and Medicago minima in the ground layer.",NA
"865","SAASTP0033-58724","SAASTP0033",58724,"NC","None","None","None","SAA010673","SAA010691","None","SAA010683","SAA010707","SAA010686","Sparse Chenopods shrubland with Maireana triptera, Maireana Astrotricha with some Enneapogon cylindricus, Sclerolaena eriacantha Ptilotus sp. and some scattered Acacia tetragonophylla and Eremophila rotundifolia.",FALSE
"866","WAACOO0002-53445","WAACOO0002",53445,"","","","","WAA  001704","","","","","","Duma florulenta isolated shrubs (<1m) . ground stratum of Isolated forbs including Mesembryanthemum nodiflorum. (<0.5m).",FALSE
"867","SAAEYB0029-58855","SAAEYB0029",58855,"Climate is dry. Some recent light rain but not enough to wet soil. Vegetation response is regenerating after fire. No fruiting. Flowering on the Solanum capsiciforme and Solanum coactiliferum. Goodenia pinnatifida finished flowering. Austrostipa nitida have seed heads.","None","None","None","SAA015842","SAA015814",NA,"SAA015646",NA,NA,"Austrostipa nitida low sparse tussock grassland with scattered Scaevola spinescens and Senna artemisioides subsp. x coriacea. Shrubs are burnt with basal re-sprouting. Previously a sparse shrubland but currently regenerating post fire",FALSE
"868","NTAPCK2014-58941","NTAPCK2014",58941,"NC","NTA028861","NTA028860","NTA028878","NTA028861","NTA028860","NTA028894","NTA028932","NTA028871","NTA028929","Eucalyptus tetrodonta / Eucalyptus miniata low open woodland with Xanthostemon paradoxus, Eucalyptus tectifica, Corymbia porrecta and Corymbia disjuncta. Acacia mimula and Terminalia ferdinandiana forming a secondary upper storey with Galactia tenuiflora. A mid storey of juvenile Eucalyptus, Corymbia and Acacia species. A ground storey dominated by Sorghum intrans with Petalostigma quadriloculare, Schizachyrium fragile and Heteropogon triticeus.",FALSE
"869","NTASTU0002-58429","NTASTU0002",58429,"NC","NTA017194","NTA017232","NTA017084",NA,NA,NA,"NTA017070","NTA017076","NTA017082","Corymbia terminalis mixed mid woodland with  Corymbia polycarpa / Eucalyptus pruinosa/ Eucalyptus chlorophylla and Erythrophleum chlorostachys. Sparse mid layer of juvenile Eucalyptus, Corymbia and some Bauhinia cunninghamii and Terminalia canescens. Ground layer is dominated by Themeda triandra with Dichanthium fecundum and Chrysopogon fallax",FALSE
"870","SAASTP0034-58751","SAASTP0034",58751,"NC","None","None","None","None","None","None","SAA010639","SAA010623","SAA010613","Atriplex vesicaria, Maireana astrotricha, Tecticornia sp. mixed Chenopod shrubland with some Enneapogon cylindricus.",FALSE
"871","SAASTP0034-58751","SAASTP0034",58751,"Climate response is dry.
Vegetation response is dry.
","None","None","None","None","None","None","SAA010639","SAA010623","SAA010613","Atriplex vesicaria, Maireana astrotricha, Tecticornia indica mixed chenopod shrubland with some Enneapogon avenaceus.",FALSE
"872","WAAAVW0004-58520","WAAAVW0004",58520,"NC","WAA016173","WAA016317",NA,"WAA016173","WAA016067",NA,"WAA016033","WAA016043","None","Eucalyptus accedens low open forest with Eucalyptus wandoo subsp. wandoo. Mid stratum is a mid sparse shurbland dominated by juvenile Eucalyptus accedens. Ground stratum is a sparse, diverse forbland with many species present at very low cover.",FALSE
"873","NSABHC0029-58028","NSABHC0029",58028,"NC","NSA013289","None","None","NSA013289","None","None","NSA013306","None","None","Eucalyptus camaldulensis open forest. A sparse mid stratum of isolated juvenile Eucalyptus camaldulensis. A sparse ground stratum with some dense pockets of predominantly introduced forbs- Sonchus, Sisymbrium, Solanum nigrum and other species.",FALSE
"874","SAAKAN0009-58901","SAAKAN0009",58901,"The climate is wet, with recent rain in the last week. The vegetation response is fruiting and flowering, however the Eucalypt spp. don’t have flowers. Most small shrubs are flowering and some fruiting.","SAA014978","SAA014918","SAA014972","SAA014912","SAA014918","SAA014942","SAA014944","SAA014914","SAA014936","Eucalytpus albopurpurea, Eucalyptus diversifolia subsp. diversifolia low open mallee woodland to tall shrubland with Eucalyptus rugosa. A sparse taller mid layer of Melaleuca lanceolata as well as juvenile Eucalyptus and a dense, diverse lower mid layer dominated by Logania ovata with Pultenaea acerosa, Pultenaea tenuifolia and Spyridium nitidum.  A sparse ground layer dominated by Gahnia deusta. The Eucalypts are a maximum of 5-6m, with an average of 2-4m. The average height of the Xanthorrhoea is 1-2m, and the Spyridium nitidum are around 0.5 -0.6m.

",TRUE
"875","SAAKAN0009-58634","SAAKAN0009",58634,"NC","SAA008538","SAA008536","SAA008540","SAA008488","SAA008512","SAA008492","SAA008548","SAA008508","SAA008476","Eucalytpus albopurpurea, Eucalyptus diversifolia and Eucalyptus rugosa  open mallee woodland with mid layer of Melaleuca lanceolata as well as juvenile Eucalyptus and low shrub layer of Logania ovata , Hakea vittata, Pultenaea acerosa, Spyridium nitidum ,Spyridium phylicoides as well as Gahnia deusta.


",TRUE
"876","WAAGSD0003-58980","WAAGSD0003",58980,"Climate response is dry.
Vegetation response is dry. Terminalia sp. have fruited. Triodia sp. in green and has shed seeds. Eragrostis dropped seeds and drying off.
","-1","-1","-1","WAA023698","WAA023688","WAA023722","WAA023728","WAA023712","WAA023720","Mixed shrubland of Terminalia sp. (~1.5m), Dicrastylis (long leaved blue grey shrub)(~0.3m), Newcastelia cladotricha(~0.3m), Eremophila glabra (~0.5m), Dodonaea and Acacia stellaticeps. Ground layer a mixed hummock grassland Triodia sp.(~0.3m) and Eragrostis eriopoda (~0.15m).",FALSE
"877","WAAAVW0003-58519","WAAAVW0003",58519,"NC","WAA016476","WAA016350",NA,"WAA016476","WAA016350",NA,"WAA016498","WAA013825","WAA016484","Eucalyptus accedens low open forest with Eucalyptus wandoo subsp. wandoo. Very sparse mid story- some juvenile Eucalyptus accedens and Eucalyptus wandoo subsp. wandoo.  Ground stratum is diverse but sparse, dominated in very low cover by Aira cupaniana, Millotia tenuifolia var. tenuifolia, Calandrinia calyptrata


 ",FALSE
"878","SAAKAN0012-58896","SAAKAN0012",58896,"Wet- rain the previous week. The response is active growth, most of the Melaleuca lanceolata is flowering, as well as some of the Pultenaea acerosa, Senecio odoratus and some Eucalyptus diversifolia subsp. diversifolia","None","None","None","SAA015708","SAA015724","SAA015546","SAA015564","SAA015780",NA,"Eucalyptus diversifolia subsp. diversifolia mid mallee shrubland with Melaleuca gibbosa, Melaleuca lanceolata, Acrotriche cordata, Lasiopetalum discolour and Acacia triquetra. A ground storey dominated by Sonchus oleraceus, with scattered Senecio odoratus, Galium murale and other forbs. The height of the site is 46-60cm for the heath shrubs and the E. diversifolia average 1m with a few taller individuals in the drainage line.

",FALSE
"879","SAAKAN0012-58629","SAAKAN0012",58629,"NC","None","None","None","SAA008770","SAA008788","SAA008778","SAA008798","SAA008860","SAA008818","Eucalyptus diversifolia, Melaleuca gibbosa and Melaleuca lanceolata Heathland with an understory of Lasiopetalum discolor,  Leucopogon parviflorus and  Acrotriche patula. ",TRUE
"880","WAAGSD0001-58958","WAAGSD0001",58958,"Climate response is dry and vegetation response is dry, although the Acacias are flowering. The Triodia have all shed their seed but are still quite green, indicating a high-rainfall wet season. ","None","None","None","WAA023882","WAA023750","None","WAA023793","None","None","Ground stratum dominated by Triodia epactia (20cm) with scattered Acacia stellaticeps (1.3m), Newcastelia cladotricha and Seringia nephrosperma (0.5m) hummock grassland ",FALSE
"881","WAAGSD0001-58509","WAAGSD0001",58509,"NC","None","None","None","WAA010114","None","None","WAA010120","None","None","Triodia epactia hummock grassland with scattered Acacia stellaticeps. Some isolated clumps of Newcastelia cladotricha.",FALSE
"882","WAACEK0003-58956","WAACEK0003",58956,"Climate response is dry (middle of dry-season). Vegetation response is regenerating from the recent fire.

 
","WAA023338","WAA028008","WAA023472","WAA028008","WAA023472","WAA023372","WAA023334","WAA023336","WAA023430","Upper stratum dominated by Eucalyptus sp., Eucalyptus confluens and Corymbia cadophora woodland. Mid stratum of Eucalyptus confluens, Cochlospermum fraseri and
Bauhinia (2-9m) woodland to tall shrubland. Ground stratum dominated by Triodia bitextura, Heteropogon contortus and Chrysopogon sp. tussock grassland",FALSE
